Year	Dataset Name	Anatomy (Brain, Head, Neck, Eye, Cell, Chest, Heart, Abdomen, Pelvis, Vessel, Skin)	Modality	Segmentation Targets	# images	License	Data	Paper links	Note	bib
2022	DFU	Abdomen	Endoscopy	liver anatomical curves (landmarks)	2,000	Unknown	DFU Challenge (dfu-challenge.github.io)	https://arxiv.org/abs/2204.11618		@article{kendrick2022translating,   title={Translating clinical delineation of diabetic foot ulcers into machine interpretable segmentation},   author={Kendrick, Connah and Cassidy, Bill and Pappachan, Joseph M and O'Shea, Claire and Fernandez, Cornelious J and Chacko, Elias and Jacob, Koshy and Reeves, Neil D and Yap, Moi Hoon},   journal={arXiv preprint arXiv:2204.11618},   year={2022} }
2022	P2ILF	Abdomen	Endoscopy	liver anatomical curves (landmarks)	300	CC BY NC SA	P2ilf - Grand Challenge (grand-challenge.org)	https://doi.org/10.1016/j.media.2024.103371		@article{ali2025objective,   title={An objective comparison of methods for augmented reality in laparoscopic liver resection by preoperative-to-intraoperative image fusion from the MICCAI2022 challenge},   author={Ali, Sharib and Espinel, Yamid and Jin, Yueming and Liu, Peng and G{\"u}ttner, Bianca and Zhang, Xukun and Zhang, Lihua and Dowrick, Tom and Clarkson, Matthew J and Xiao, Shiting and others},   journal={Medical Image Analysis},   volume={99},   pages={103371},   year={2025} }
2021	BKAI-IGH NeoPolyp	Abdomen	Endoscopy	neoplastic polyps non-neoplastic polyps	1000	Unknown	https://www.kaggle.com/competitions/bkai-igh-neopolyp/data	https://doi.org/10.48550/arXiv.2107.05023 https://ieeexplore.ieee.org/document/9759450		@inproceedings{ngoc2021neounet,   title={Neounet: Towards accurate colon polyp segmentation and neoplasm detection},   author={Ngoc Lan, Phan and An, Nguyen Sy and Hang, Dao Viet and Long, Dao Van and Trung, Tran Quang and Thuy, Nguyen Thi and Sang, Dinh Viet},   booktitle={Advances in visual computing: 16th international symposium, ISVC 2021, virtual event, October 4-6, 2021, proceedings, part II},   pages={15--28},   year={2021} } @article{an2022blazeneo,   title={Blazeneo: Blazing fast polyp segmentation and neoplasm detection},   author={An, Nguyen S and Lan, Phan N and Hang, Dao V and Long, Dao V and Trung, Tran Q and Thuy, Nguyen T and Sang, Dinh V},   journal={IEEE Access},   volume={10},   pages={43669--43684},   year={2022} }
2017	Kvasir-SEG	Abdomen	Endoscopy	Polyp	1000	CC0	https://www.kaggle.com/datasets/abdallahwagih/kvasir-dataset-for-classification-and-segmentation	https://doi.org/10.1007/978-3-030-37734-2_37 https://doi.org/10.1145/3193289	Included in training set	@inproceedings{jha2020kvasir,   title={Kvasir-seg: A segmented polyp dataset},   author={Jha, Debesh and Smedsrud, Pia H and Riegler, Michael A and Halvorsen, P{\aa}l and de Lange, Thomas and Johansen, Dag and Johansen, H{\aa}vard D},   booktitle={MultiMedia Modeling: 26th International Conference, MMM 2020, Daejeon, South Korea, January 5--8, 2020, Proceedings, Part II 26},   pages={451--462},   year={2020} } @inproceedings{pogorelov2017kvasir,   title={Kvasir: A multi-class image dataset for computer aided gastrointestinal disease detection},   author={Pogorelov, Konstantin and Randel, Kristin Ranheim and Griwodz, Carsten and Eskeland, Sigrun Losada and de Lange, Thomas and Johansen, Dag and Spampinato, Concetto and Dang-Nguyen, Duc-Tien and Lux, Mathias and Schmidt, Peter Thelin and others},   booktitle={Proceedings of the 8th ACM on Multimedia Systems Conference},   pages={164--169},   year={2017} }
	CholecSeg8k	Abdomen	Endoscopy	Tissues and instruments	8000	CC BY-NC-SA 4.0	https://www.kaggle.com/datasets/newslab/cholecseg8k	https://doi.org/10.48550/arXiv.2012.12453 https://doi.org/10.48550/arXiv.1602.03012	Included in training set	@article{hong2020cholecseg8k,   title={Cholecseg8k: a semantic segmentation dataset for laparoscopic cholecystectomy based on cholec80},   author={Hong, W-Y and Kao, C-L and Kuo, Y-H and Wang, J-R and Chang, W-L and Shih, C-S},   journal={arXiv preprint arXiv:2012.12453},   year={2020} } @article{twinanda2016endonet,   title={Endonet: a deep architecture for recognition tasks on laparoscopic videos},   author={Twinanda, Andru P and Shehata, Sherif and Mutter, Didier and Marescaux, Jacques and De Mathelin, Michel and Padoy, Nicolas},   journal={IEEE Transactions on Medical Imaging},   volume={36},   number={1},   pages={86--97},   year={2016} }
2020	US simulation & segmentation	Abdomen	US	Abdomen	992	Unknown	US simulation & segmentation (kaggle.com)	https://pubmed.ncbi.nlm.nih.gov/31392671/		@article{vitale2020improving,   title={Improving realism in patient-specific abdominal ultrasound simulation using CycleGANs},   author={Vitale, Santiago and Orlando, Jos{\'e} Ignacio and Iarussi, Emmanuel and Larrabide, Ignacio},   journal={International journal of computer assisted radiology and surgery},   volume={15},   number={2},   pages={183--192},   year={2020} }
2022	Seg.A.	Vessel	CT	Aorta	56	56	Aortic Vessel Tree (AVT) CTA Datasets and Segmentations (figshare.com)	https://link.springer.com/chapter/10.1007/978-3-031-53241-2_2		@incollection{myronenko2023aorta,   title={Aorta segmentation from 3D CT in MICCAI SEG. A. 2023 challenge},   author={Myronenko, Andriy and Yang, Dong and He, Yufan and Xu, Daguang},   booktitle={MICCAI Challenge on Segmentation of the Aorta},   pages={13--18},   year={2023} }
2022	ASOCA	Vessel	CT	Coronary Arteries	60	Unknown	https://reshare.ukdataservice.ac.uk/855916/	https://www.sciencedirect.com/science/article/pii/S0895611122000222?via%3Dihub		@article{gharleghi2022automated,   title={Automated segmentation of normal and diseased coronary arteries--the asoca challenge},   author={Gharleghi, Ramtin and Adikari, Dona and Ellenberger, Katy and Ooi, Sze-Yuan and Ellis, Chris and Chen, Chung-Ming and Gao, Ruochen and He, Yuting and Hussain, Raabid and Lee, Chia-Yen and others},   journal={Computerized Medical Imaging and Graphics},   volume={97},   pages={102049},   year={2022},   publisher={Elsevier} }
2020	GammaKnife-Hippocampal	Brain	CT	brain lesion	390	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=83592528	https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.14098	TCIA is very responsive for data request	@article{porter2020hippocampus,   title={Hippocampus segmentation on noncontrast CT using deep learning},   author={Porter, Evan and Fuentes, Patricia and Siddiqui, Zaid and Thompson, Andrew and Levitin, Ronald and Solis, David and Myziuk, Nick and Guerrero, Thomas},   journal={Medical physics},   volume={47},   number={7},   pages={2950--2961},   year={2020} }
2020	GammaKnife-Hippocampal	Brain	MR	brain lesion	3868	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=83592528	https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.14098	TCIA is very responsive for data request	@article{porter2020hippocampus,   title={Hippocampus segmentation on noncontrast CT using deep learning},   author={Porter, Evan and Fuentes, Patricia and Siddiqui, Zaid and Thompson, Andrew and Levitin, Ronald and Solis, David and Myziuk, Nick and Guerrero, Thomas},   journal={Medical physics},   volume={47},   number={7},   pages={2950--2961},   year={2020} }
2022	Meningioma-SEG-CLASS	Brain	MR	Tumor (Meningioma)	191	TCIA Restricted	https://doi.org/10.7937/0TKV-1A36	https://www.nature.com/articles/s41598-022-07859-0	TCIA is very responsive for data request	@article{vassantachart2022automatic,   title={Automatic differentiation of Grade I and II meningiomas on magnetic resonance image using an asymmetric convolutional neural network},   author={Vassantachart, April and Cao, Yufeng and Gribble, Michael and Guzman, Samuel and Ye, Jason C and Hurth, Kyle and Mathew, Anna and Zada, Gabriel and Fan, Zhaoyang and Chang, Eric L and others},   journal={Scientific Reports},   volume={12},   number={1},   pages={3806},   year={2022} }
2022	ISLES	Brain	MR-DWI-ADC, FLAIR	Ischemic stroke lesion	180	CC-BY-4.0	https://zenodo.org/records/7960856	https://www.nature.com/articles/s41597-022-01875-5	Included in training set	@article{hernandez2022isles,   title={ISLES 2022: A multi-center magnetic resonance imaging stroke lesion segmentation dataset},   author={Hernandez Petzsche, Moritz R and de la Rosa, Ezequiel and Hanning, Uta and Wiest, Roland and Valenzuela, Waldo and Reyes, Mauricio and Meyer, Maria and Liew, Sook-Lei and Kofler, Florian and Ezhov, Ivan and others},   journal={Scientific Data},   volume={9},   number={1},   pages={762},   year={2022} }
2021	BrainPTM	Brain	MR-T1	White matter tracts	75	Unknown	Participation - Grand Challenge (grand-challenge.org)	https://pubmed.ncbi.nlm.nih.gov/31751233/ https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9098454		@article{avital2019neural,   title={Neural segmentation of seeding ROIs (sROIs) for pre-surgical brain tractography},   author={Avital, Itzik and Nelkenbaum, Ilya and Tsarfaty, Galia and Konen, Eli and Kiryati, Nahum and Mayer, Arnaldo},   journal={IEEE transactions on medical imaging},   volume={39},   number={5},   pages={1655--1667},   year={2019} } @inproceedings{nelkenbaum2020automatic,   title={Automatic segmentation of white matter tracts using multiple brain MRI sequences},   author={Nelkenbaum, Ilya and Tsarfaty, Galia and Kiryati, Nahum and Konen, Eli and Mayer, Arnaldo},   booktitle={2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI)},   pages={368--371},   year={2020} }
2023	Crossmoda	Brain	MR-T1-T2	Tumour, Cochlea	227	CC BY-NC	https://crossmoda-challenge.ml/	https://www.sciencedirect.com/science/article/pii/S1361841522002560	Included in training set	@article{dorent2023crossmoda,   title={CrossMoDA 2021 challenge: Benchmark of cross-modality domain adaptation techniques for vestibular schwannoma and cochlea segmentation},   author={Dorent, Reuben and Kujawa, Aaron and Ivory, Marina and Bakas, Spyridon and Rieke, Nicola and Joutard, Samuel and Glocker, Ben and Cardoso, Jorge and Modat, Marc and Batmanghelich, Kayhan and others},   journal={Medical Image Analysis},   volume={83},   pages={102628},   year={2023} }
2022	WMH	Brain	MR-T1, FLAIR	White matter hyper-intensities	60	CC BY 4.0	WMH segmentation challenge	https://pubmed.ncbi.nlm.nih.gov/30908194/	Included in training set	@article{kuijf2019standardized,   title={Standardized assessment of automatic segmentation of white matter hyperintensities and results of the WMH segmentation challenge},   author={Kuijf, Hugo J and Biesbroek, J Matthijs and De Bresser, Jeroen and Heinen, Rutger and Andermatt, Simon and Bento, Mariana and Berseth, Matt and Belyaev, Mikhail and Cardoso, M Jorge and Casamitjana, Adria and others},   journal={IEEE Transactions on Medical Imaging},   volume={38},   number={11},   pages={2556--2568},   year={2019} }
2015	Figshare Brain Tumor Dataset	Brain	MR-T1ce	meningioma; glioma; pituitary tumor	233	CC BY-SA 4.0	Figshare Brain Tumor Dataset (kaggle.com)	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140381		@article{cheng2015enhanced,   title={Enhanced performance of brain tumor classification via tumor region augmentation and partition},   author={Cheng, Jun and Huang, Wei and Cao, Shuangliang and Yang, Ru and Yang, Wei and Yun, Zhaoqiang and Wang, Zhijian and Feng, Qianjin},   journal={PloS one},   volume={10},   number={10},   pages={e0140381},   year={2015} }
2022	Brain TR-GammakKnife	Brain	MR	brain lesion	228	TCIA Restricted	https://doi.org/10.7937/xb6d-py67 	https://www.nature.com/articles/s41597-023-02683-1	TCIA is very responsive for data request	@article{wang2023brain,   title={A brain MRI dataset and baseline evaluations for tumor recurrence prediction after Gamma Knife radiotherapy},   author={Wang, Yibin and Duggar, William Neil and Caballero, David Michael and Thomas, Toms Vengaloor and Adari, Neha and Mundra, Eswara Kumar and Wang, Haifeng},   journal={Scientific Data},   volume={10},   number={1},   pages={785},   year={2023} }
2022	UCSF-PDGM	Brain	MR	brain lesion 	501	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=119705830	https://pubs.rsna.org/doi/10.1148/ryai.220058	TCIA is very responsive for data request	@article{calabrese2022university,   title={The University of California San Francisco preoperative diffuse glioma MRI dataset},   author={Calabrese, Evan and Villanueva-Meyer, Javier E and Rudie, Jeffrey D and Rauschecker, Andreas M and Baid, Ujjwal and Bakas, Spyridon and Cha, Soonmee and Mongan, John T and Hess, Christopher P},   journal={Radiology: Artificial Intelligence},   volume={4},   number={6},   pages={e220058},   year={2022} }
2024	FeTA	Brain 	MR	Brain organs	160	ND	https://www.synapse.org/#!Synapse:syn25649159/wiki/610007	https://www.nature.com/articles/s41597-021-00946-3	Authors are very responsive for data request	@misc{payette2021automatic,   title={An automatic multi-tissue human fetal brain segmentation benchmark using the fetal tissue annotation dataset. Sci Data 8: 167},   author={Payette, K and de Dumast, P and Kebiri, H and Ezhov, I and Paetzold, JC and Shit, S and Iqbal, A and Khan, R and Kottke, R and Grehten, P and others},   year={2021} }
2021	CDD-CESM 	Chest	Mammography	lesion	1233	CC BY 4.0	https://doi.org/10.7937/29kw-ae92	https://doi.org/10.1038/s41597-022-01238-0 https://doi.org/10.7937/29kw-ae92	Included in training set	@article{khaled2022categorized,   title={Categorized contrast enhanced mammography dataset for diagnostic and artificial intelligence research},   author={Khaled, Rana and Helal, Maha and Alfarghaly, Omar and Mokhtar, Omnia and Elkorany, Abeer and El Kassas, Hebatalla and Fahmy, Aly},   journal={Scientific Data},   volume={9},   number={1},   pages={122},   year={2022} } @misc{TCIAkhaled2021,   title = {Categorized Digital Database for Low energy and Subtracted Contrast Enhanced Spectral Mammography images [Dataset]},   author = {Khaled, R. and Helal, M. and Alfarghaly, O. and Mokhtar, O. and Elkorany, A. and El Kassas, H. and Fahmy, A.},   year = {2021},   doi = {10.7937/29kw-ae92} }
2018	MonuSeg	Chest	Microscopy	tumor cell nuclei 	Unknown	Unknown	MonuSeg-2018 (kaggle.com)	http://www.koreascience.or.kr/article/JAKO202125761193585.pdf		@article{dinh2021breast,   title={Breast tumor cell nuclei segmentation in histopathology images using efficientunet++ and multi-organ transfer learning},   author={Dinh, Tuan Le and Kwon, Seong-Geun and Lee, Suk-Hwan and Kwon, Ki-Ryong},   journal={Journal of Korea Multimedia Society},   volume={24},   number={8},   pages={1000--1011},   year={2021} }
	Breast Ultrasound Images Dataset	Chest	US	benign breast cancer malignant breast cancer	647	CC0 1.0	https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset	https://doi.org/10.1016/j.dib.2019.104863	Included in training set	@article{al2020dataset,   title={Dataset of breast ultrasound images},   author={Al-Dhabyani, Walid and Gomaa, Mohammed and Khaled, Hussien and Fahmy, Aly},   journal={Data in Brief},   volume={28},   pages={104863},   year={2020} }
2024	NeurIPS CellSeg	Cell	Microscopy	cells	1000	CC BY-NC-ND	https://neurips22-cellseg.grand-challenge.org/	https://www.nature.com/articles/s41592-024-02233-6	Included in training set	@article{ma2024multimodality,   title={The multimodality cell segmentation challenge: toward universal solutions},   author={Ma, Jun and Xie, Ronald and Ayyadhury, Shamini and Ge, Cheng and Gupta, Anubha and Gupta, Ritu and Gu, Song and Zhang, Yao and Lee, Gihun and Kim, Joonkee and others},   journal={Nature methods},   pages={1--11},   year={2024},   publisher={Nature Publishing Group US New York} }
2023	CC-Tumor Heterogeneity	Pelvis	MR 	Tumor	7	CC BY 4.0	https://doi.org/10.7937/ERZ5-QZ59	https://onlinelibrary.wiley.com/doi/10.1002/jmri.25874	Included in training set	@article{bowen2018tumor,   title={Tumor radiomic heterogeneity: multiparametric functional imaging to characterize variability and predict response following cervical cancer radiation therapy},   author={Bowen, Stephen R and Yuh, William TC and Hippe, Daniel S and Wu, Wei and Partridge, Savannah C and Elias, Saba and Jia, Guang and Huang, Zhibin and Sandison, George A and Nelson, Dennis and others},   journal={Journal of Magnetic Resonance Imaging},   volume={47},   number={5},   pages={1388--1396},   year={2018} }
2022	ATM22	Chest	CT	airways	500	CC BY NC	https://atm22.grand-challenge.org/	https://link.springer.com/chapter/10.1007/978-3-031-16431-6_48 https://ieeexplore.ieee.org/abstract/document/9427208 https://ieeexplore.ieee.org/abstract/document/9761697 https://link.springer.com/chapter/10.1007/978-3-030-32226-7_24	Authors are very responsive for data request	@inproceedings{zhang2022cfda,   title={Cfda: Collaborative feature disentanglement and augmentation for pulmonary airway tree modeling of covid-19 cts},   author={Zhang, Minghui and Zhang, Hanxiao and Yang, Guang-Zhong and Gu, Yun},   booktitle={International conference on medical image computing and computer-assisted intervention},   pages={506--516},   year={2022} } @article{zheng2021alleviating,   title={Alleviating class-wise gradient imbalance for pulmonary airway segmentation},   author={Zheng, Hao and Qin, Yulei and Gu, Yun and Xie, Fangfang and Yang, Jie and Sun, Jiayuan and Yang, Guang-Zhong},   journal={IEEE transactions on medical imaging},   volume={40},   number={9},   pages={2452--2462},   year={2021} } @inproceedings{yu2022break,   title={Break: Bronchi reconstruction by geodesic transformation and skeleton embedding},   author={Yu, Weihao and Zheng, Hao and Zhang, Minghui and Zhang, Hanxiao and Sun, Jiayuan and Yang, Jie},   booktitle={2022 IEEE 19th International Symposium on Biomedical Imaging (ISBI)},   pages={1--5},   year={2022} } @inproceedings{qin2019airwaynet,   title={Airwaynet: a voxel-connectivity aware approach for accurate airway segmentation using convolutional neural networks},   author={Qin, Yulei and Chen, Mingjian and Zheng, Hao and Gu, Yun and Shen, Mali and Yang, Jie and Huang, Xiaolin and Zhu, Yue-Min and Yang, Guang-Zhong},   booktitle={International conference on medical image computing and computer-assisted intervention},   pages={212--220},   year={2019} }
2020	COVID-19-20-CTSEG	Chest	CT	COVID-19 Infections, left lung, right lung	20	CC BY-NC-SA	https://zenodo.org/records/3757476	https://doi.org/10.1002/mp.14676	Included in training set	@article{MP-COVID-19-SegBenchmark,   title={Towards Data-Efficient Learning: A Benchmark for COVID-19 CT Lung and Infection Segmentation},   author = {Ma, Jun and Wang, Yixin and An, Xingle and Ge, Cheng and Yu, Ziqi and Chen, Jianan and Zhu, Qiongjie and Dong, Guoqiang and He, Jian and He, Zhiqiang and Cao, Tianjia and Zhu, Yuntao and Nie, Ziwei and Yang, Xiaoping},   journal = {Medical Physics},   volume = {48},   number = {3},   pages = {1197-1210},   doi = {https://doi.org/10.1002/mp.14676},   year = {2021} }
2020	COVID-19-20	Chest	CT	COVID-19 lesions	199	CC BY	https://covid-segmentation.grand-challenge.org/Data/	https://doi.org/10.1016/j.media.2022.102605	Included in training set	@article{roth2022rapid,   title={Rapid artificial intelligence solutions in a pandemic—The COVID-19-20 Lung CT Lesion Segmentation Challenge},   author={Roth, Holger R and Xu, Ziyue and Tor-D{\'\i}ez, Carlos and Jacob, Ramon Sanchez and Zember, Jonathan and Molto, Jose and Li, Wenqi and Xu, Sheng and Turkbey, Baris and Turkbey, Evrim and others},   journal={Medical Image Analysis},   volume={82},   pages={102605},   year={2022} }
2020	LCTSC	Chest	CT	Esophagus, Heart, Lungs, Spinal cord	60	CC BY 3.0	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=24284539	https://doi.org/10.1002/mp.13141 	Included in training set	@article{yang2018autosegmentation,   title={Autosegmentation for thoracic radiation treatment planning: a grand challenge at AAPM 2017},   author={Yang, Jinzhong and Veeraraghavan, Harini and Armato III, Samuel G and Farahani, Keyvan and Kirby, Justin S and Kalpathy-Kramer, Jayashree and van Elmpt, Wouter and Dekker, Andre and Han, Xiao and Feng, Xue and others},   journal={Medical physics},   volume={45},   number={10},   pages={4568--4581},   year={2018},   publisher={Wiley Online Library} }
2020	LIDC-IDRI	Chest	CT	Lung cancer	13718	CC BY 3.0	https://doi.org/10.7937/K9/TCIA.2015.LO9QL9SX	https://doi.org/10.1118/1.3528204		@article{armato2011lung,   title={The lung image database consortium (LIDC) and image database resource initiative (IDRI): a completed reference database of lung nodules on CT scans},   author={Armato III, Samuel G and McLennan, Geoffrey and Bidaut, Luc and McNitt-Gray, Michael F and Meyer, Charles R and Reeves, Anthony P and Zhao, Binsheng and Aberle, Denise R and Henschke, Claudia I and Hoffman, Eric A and others},   journal={Medical physics},   volume={38},   number={2},   pages={915--931},   year={2011} }
